Species,Country,Kingdom,Phylum,System,Native_Regions
Acanthaster planci,"American_samoa, Australia, Cook_islands, Costa_rica, Egypt, Fiji, French_polynesia, Guam, India, Indonesia, Japan, Madagascar, Malaysia, Maldives, Marshall_islands, Mauritius, New_zealand, Northern_mariana_islands, Oman, Palau, Panama, Papua_new_guinea, Philippines, Samoa, Saudi_arabia, South_africa, Sudan, Thailand, United_states, Vanauatu",Animalia,Echinodermata,Marine,"Indonesia, New Caledonia, Palau, Solomon Islands, United States of America"
Acanthis flammea,"Australia, New_zealand",Animalia,Chordata,Terrestrial,United States of America
Acanthocereus tetragonus,"New_calcedonia, United_states",Plantae,Magnoliophyta,Terrestrial,Colombia
Acanthogobius flavimanus,"Australia, China, Japan, Malaysia, North_korea, Russia, United_states, Vietnam",Animalia,Chordata,Freshwater,"Japan, United States of America"
Acanthophora spicifera,"Angola, Australia, Bahamas, Bahrain, Bangladesh, Belize, Bermuda, Bes_islands, Brazil, Cameroon, Cayman_islands, China, Colombia, Costa_rica, Cuba, Equatorial_guinea, Fiji, French_polynesia, Gabon, Guam, Guatemala, Guinea_bissau, India, Indonesia, Iran, Jamaica, Japan, Kenya, Madagascar, Malaysia, Maldives, Marshall_islands, Mauritania, Mauritius, Mexico, Micronesia, Mozambique, Myanmar, New_calcedonia, Northern_mariana_islands, Oman, Pakistan, Palau, Panama, Philippines, Puerto_rico, Reunion, Samoa, Sao_tome_and_principe, Saudi_arabia, Senegal, Seychelles, Sierra_leone, Singapore, Solomon_islands, South_africa, Sri_lanka, Taiwan, Tanzania, Tonga, Trinidad_and_tabago, Turks_and_caicos_islands, United_states, Venezuela, Vietnam, Virgin_islands_british, Virgin_islands_us, Yemen",Plantae,Rhodophyta,Marine,"Brazil, Ecuador"
Acanthus mollis,"Algeria, Australia, Brazil, Cyprus, France, Italy, Malta, Morocco, New_zealand, Portugal, South_africa, Spain, Syrian_arab_republic, Tunisia, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,Spain
Acer ginnala,"China, Japan, Mongolia, North_korea, Russia, South_korea, United_states",Plantae,Magnoliophyta,Terrestrial,"China, Korea, Republic of, Romania, Russian Federation, United States of America"
Acer platanoides,"Afghanistan, Albania, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, Czech_republic, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iran, Italy, Kyrgystan, Latvia, Lithuania, Norway, Poland, Romania, Russia, Spain, Sweden, Switzerland, Tajikistan, United_states",Plantae,Magnoliophyta,Terrestrial,"Azerbaijan, Canada, Estonia, Germany, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Achatina fulica,"American_samoa, Anguilla, Bangladesh, Barbados, Bermuda, Brazil, China, Colombia, Cook_islands, Cote_d'ivoire, Ecuador, Equatorial_guinea, Ethiopia, French_guiana, French_polynesia, Ghana, Guadeloupe, Guam, Guyana, Hong_kong, India, Indonesia, Japan, Kenya, Kiribati, Madagascar, Malaysia, Marshall_islands, Martinique, Mauritius, Mayotte, Micronesia, Morocco, Mozambique, Nepal, New_calcedonia, New_zealand, Northern_mariana_islands, Palau, Papua_new_guinea, Paraguay, Peru, Philippines, Reunion, Saint_lucia, Saint_martin, Samoa, Sao_tome_and_principe, Seychelles, Singapore, Solomon_islands, Somalia, South_africa, Sri_lanka, Suriname, Taiwan, Tanzania, Thailand, Trinidad_and_tabago, Tuvalu, United_states, United_states_minor_outlying_islands, Vanauatu, Venezuela, Vietnam, Wallis_and_futuna",Animalia,Mollusca,Terrestrial,
Acnemia bifida,Antarctica,Animalia,Arthropoda,Terrestrial,
Acridotheres burmannicus,Israel,Animalia,Chordata,Terrestrial,"Israel, Malaysia, Myanmar, Thailand, Viet Nam"
Acridotheres cristatellus,"Canada, United_states",Animalia,Chordata,Terrestrial,"Canada, China, Chinese Taipei, Hong Kong, Indonesia, Philippines, United States of America, Viet Nam, unknown or invalid"
Acridotheres fuscus,"Fiji, India, Samoa, Tokelau, Tonga",Animalia,Chordata,Terrestrial,"American Samoa, Fiji, India, Indonesia, Lao People’s Democratic Republic, Malaysia, Myanmar, Nepal, Singapore, Thailand, unknown or invalid"
Acridotheres tristis,"Afghanistan, American_samoa, Australia, Bangladesh, Bhutan, Brunei_darussalam, Cambodia, China, Comoros, Cook_islands, Egypt, Fiji, France, French_polynesia, Hong_kong, India, Indonesia, Iran, Iraq, Israel, Kazakhstan, Kiribati, Kuwait, Laos, Lebanon, Madagascar, Malaysia, Maldives, Mauritius, Mayotte, Myanmar, Nepal, New_calcedonia, New_zealand, Oman, Pakistan, Qatar, Reunion, Russia, Saint_helena, Samoa, Saudi_arabia, Seychelles, Singapore, Solomon_islands, South_africa, Spain, Sri_lanka, Tajikistan, Thailand, Tonga, Turkey, Turkmenistan, United_arab_emirates, United_states, United_states_minor_outlying_islands, Uzbekistan, Vanauatu, Vietnam, Wallis_and_futuna",Animalia,Chordata,Terrestrial,"Afghanistan, American Samoa, Australia, Comoros, Fiji, India, Israel, Madagascar, Malaysia, Mauritius, Myanmar, Nepal, New Zealand, Pakistan, Russian Federation, Réunion, Saint Helena, Ascension and Tristan da Cunha, Seychelles, Singapore, Solomon Islands, South Africa, Sri Lanka, Thailand, United States Minor Outlying Islands, United States of America, Vanuatu, Viet Nam"
Acromyrmex octospinosus,Guadeloupe,Animalia,Arthropoda,Terrestrial,
Adelges piceae,"Canada, United_states",Animalia,Arthropoda,Terrestrial,
Adelges tsugae,"Canada, China, India, Japan, Taiwan, United_states",Animalia,Arthropoda,Terrestrial,
Adenanthera pavonina,"American_samoa, Antigua_and_barbuda, Australia, Bahamas, Barbados, Bermuda, Brazil, Cameroon, Cayman_islands, Chad, Comoros, Cook_islands, Democratic_republic_of_congo, Dominica, Dominican_republic, Fiji, French_guiana, French_polynesia, Ghana, Grenada, Guadeloupe, Guam, Guinea_bissau, Guyana, Haiti, India, Indonesia, Jamaica, Kiribati, Malaysia, Maldives, Marshall_islands, Martinique, Mauritius, Mayotte, Micronesia, Montserrat, Mozambique, Myanmar, Nauru, Nigeria, Niue, Northern_mariana_islands, Pakistan, Palau, Papua_new_guinea, Philippines, Puerto_rico, Reunion, Saint_kitts_and_nevis, Saint_lucia, Saint_vincent_and_the_grenadines, Samoa, Sao_tome_and_principe, Seychelles, Sierra_leone, Solomon_islands, Sri_lanka, Suriname, Taiwan, Tanzania, Togo, Tonga, Uganda, United_states, Vietnam, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Indonesia, Jamaica, Papua New Guinea, Seychelles"
Aedes aegypti,"American_samoa, Anguilla, Antigua_and_barbuda, Argentina, Aruba, Australia, Bahamas, Barbados, Belize, Bes_islands, Bolivia, Brazil, Cambodia, Cayman_islands, China, Colombia, Costa_rica, Cuba, Dominica, Dominican_republic, Ecuador, El_salvador, Fiji, French_guiana, Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, India, Indonesia, Laos, Malaysia, Martinique, Mexico, Montserrat, Myanmar, New_calcedonia, New_zealand, Nicaragua, Niue, Pakistan, Panama, Papua_new_guinea, Paraguay, Peru, Philippines, Puerto_rico, Saint_barthelemy, Saint_kitts_and_nevis, Saint_lucia, Saint_martin, Saint_vincent_and_the_grenadines, Samoa, Singapore, Solomon_islands, Sri_lanka, Suriname, Thailand, Timor_leste, Tokelau, Tonga, Trinidad_and_tabago, Turks_and_caicos_islands, Tuvalu, United_states, Uruguay, Vanauatu, Venezuela, Vietnam, Virgin_islands_british, Virgin_islands_us, Wallis_and_futuna",Animalia,Arthropoda,Terrestrial,Colombia
Aedes albopictus,"Albania, Argentina, Australia, Barbados, Belgium, Bermuda, Bolivia, Bosnia_and_herzegovnia, Brazil, Cameroon, Cayman_islands, Chile, China, Colombia, Costa_rica, Croatia, Cuba, Dominican_republic, El_salvador, Equatorial_guinea, Fiji, France, Gabon, Greece, Guatemala, Honduras, Israel, Italy, Japan, Lebanon, Madagascar, Mexico, Montenegro, Netherlands, New_zealand, Nicaragua, Nigeria, Panama, Paraguay, Reunion, Serbia, Slovenia, Solomon_islands, South_africa, Spain, Switzerland, Syrian_arab_republic, Taiwan, Thailand, Trinidad_and_tabago, United_states, Venezuela",Animalia,Arthropoda,Terrestrial,"Colombia, Spain"
Aegilops triuncialis,"Afghanistan, Albania, Algeria, Armenia, Azerbaijan, Bulgaria, Cyprus, France, Georgia, Greece, Iran, Iraq, Israel, Italy, Japan, Kazakhstan, Kuwait, Kyrgystan, Lebanon, Morocco, Pakistan, Portugal, Russia, Spain, Syrian_arab_republic, Tajikistan, Turkey, Turkmenistan, Ukraine, United_states, Uzbekistan",Plantae,Magnoliophyta,Terrestrial,"Armenia, Azerbaijan, Bulgaria, Cyprus, Portugal, Spain, Syrian Arab Republic, Tajikistan, Türkiye, United States of America"
Aerodramus bartschi,United_states,Animalia,Chordata,Terrestrial,
Agapanthus praecox,"Argentina, Australia, Cook_islands, Marshall_islands, New_calcedonia, New_zealand, Portugal, South_africa, Spain, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,
Agapornis personatus,"Chile, Czech_republic, Kenya, New_zealand, South_africa",Animalia,Chordata,Terrestrial,"Tanzania, United Republic of, Trinidad and Tobago, United States of America"
Agave americana,"Antarctica, Argentina, Australia, Brazil, China, Costa_rica, Croatia, Cyprus, Ecuador, Ethiopia, Fiji, France, French_guiana, Greece, India, Italy, Japan, Kenya, Kiribati, Lesotho, Malawi, Malta, Mexico, Morocco, Netherlands, New_zealand, Oman, Pakistan, Peru, Philippines, Portugal, Romania, Singapore, South_africa, Spain, Sri_lanka, Taiwan, Thailand, Tonga, Tunisia, United_states, Virgin_islands_us, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, India, Spain"
Agave sisalana,"Australia, Bermuda, Christmas_island, Fiji, French_polynesia, Guam, Japan, Kiribati, Madagascar, Marshall_islands, Micronesia, Nauru, New_calcedonia, Northern_mariana_islands, Palau, Papua_new_guinea, Philippines, Puerto_rico, Saint_helena, Seychelles, Solomon_islands, South_africa, Spain, United_states, United_states_minor_outlying_islands, Virgin_islands_us",Plantae,Magnoliophyta,Terrestrial,"Kenya, Spain, Tanzania, United Republic of"
Ageratina adenophora,"Australia, Mexico, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei"
Ageratina riparia,"Australia, Mauritius, Mexico, New_zealand, Reunion, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Chinese Taipei"
Ageratum conyzoides,"American_samoa, Australia, Bangladesh, British_indian_ocean_territory, Brunei_darussalam, Cambodia, Cameroon, China, Colombia, Cook_islands, Costa_rica, Ecuador, Fiji, France, French_polynesia, Guam, India, Indonesia, Japan, Kiribati, Madagascar, Malaysia, Maldives, Marshall_islands, Mauritius, Micronesia, Nauru, New_calcedonia, Nicaragua, North_korea, Northern_mariana_islands, Palau, Peru, Philippines, Puerto_rico, Reunion, Saint_helena, Samoa, Seychelles, Singapore, Solomon_islands, South_korea, Spain, Sweden, Taiwan, Tanzania, Thailand, Tonga, United_states, Vanauatu, Vietnam, Virgin_islands_us, Wallis_and_futuna, Zimbabwe",Plantae,Magnoliophyta,Terrestrial,"Australia, Brazil, Chinese Taipei, Colombia, Solomon Islands, Timor-Leste"
Agrilus planipennis,"Canada, China, Japan, Mongolia, Russia, South_korea, Taiwan, United_states",Animalia,Arthropoda,Terrestrial,
Agrostis capillaris,"Afghanistan, Albania, Antarctica, Armenia, Australia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, China, Czech_republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Greenland, Hungary, Iran, Ireland, Italy, Kazakhstan, Kuwait, Latvia, Lithuania, Moldova, Netherlands, New_zealand, Norway, Poland, Portugal, Romania, Russia, Saint_helena, Spain, Sweden, Switzerland, Tunisia, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, France, Greece, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Agrostis gigantea,"Afghanistan, Albania, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bulgaria, Canada, China, Czech_republic, Denmark, Estonia, Finland, France, Georgia, Germany, Greenland, Hungary, India, Iran, Iraq, Ireland, Italy, Kazakhstan, Kuwait, Kyrgystan, Latvia, Lithuania, Moldova, Mongolia, Nepal, Netherlands, North_korea, Norway, Pakistan, Poland, Romania, Russia, Saint_helena, South_africa, South_korea, Sweden, Switzerland, Tajikistan, Turkey, Turkmenistan, Ukraine, United_kingdom, United_states, Uzbekistan",Plantae,Magnoliophyta,Terrestrial,"Argentina, Australia, Brazil, Canada, China, Estonia, United Kingdom of Great Britain and Northern Ireland, United States of America"
Ailanthus altissima,"Australia, China, France, Gibraltar, Saint_helena, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Canada, Chinese Taipei, Spain, United States of America"
Aix galericulata,Netherlands,Animalia,Chordata,Freshwater_terrestrial,"China, Estonia, India, Japan, Korea, Republic of, Mongolia, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Akebia quinata,"China, Japan, North_korea, South_korea, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, China, Japan"
Albizia julibrissin,"Afghanistan, Bhutan, China, India, Iran, Japan, Myanmar, Nepal, North_korea, Pakistan, Taiwan, United_states",Plantae,Magnoliophyta,Terrestrial,"Chinese Taipei, Spain"
Albizia lebbeck,"Anguilla, Bermuda, British_indian_ocean_territory, French_guiana, French_polynesia, Mayotte, New_calcedonia, Reunion, Saint_lucia",Plantae,Magnoliophyta,Terrestrial,"Australia, India"
Alectoris chukar,"France, Greece, India, Iran, Iraq, Israel, Italy, Jordan, Kazakhstan, Kuwait, Kyrgystan, Lebanon, Mongolia, Nepal, New_zealand, Oman, Pakistan, Portugal, Russia, Saint_helena, Saudi_arabia, Spain, Syrian_arab_republic, Tajikistan, Turkey, Turkmenistan, Ukraine, United_arab_emirates, United_kingdom, United_states, Uzbekistan",Animalia,Chordata,Terrestrial,"Bulgaria, China, Cyprus, France, Greece, India, Iran (Islamic Republic of), Israel, North Macedonia, Pakistan, Türkiye, United States of America"
Aleurites moluccana,"French_polynesia, Guadeloupe, Martinique, Mayotte, Montserrat, New_calcedonia, Pitcairn, Saint_helena",Plantae,Magnoliophyta,Terrestrial,"Australia, Fiji, Madagascar, Papua New Guinea, Timor-Leste"
Alexandrium minutum,"Australia, Denmark, Egypt, Ireland, Malaysia, New_zealand, Portugal, Spain, Sweden, Taiwan, Turkey, United_kingdom, United_states",Plantae,Pyrrophycophyta,Marine,Spain
Alitta succinea,"Argentina, Australia, Brazil, Canada, Colombia, Denmark, Germany, Greece, Iran, Italy, Japan, Sweden, Ukraine, United_kingdom, United_states, Uruguay",Animalia,Annelida,Marine,"Italy, United States of America"
Alliaria petiolata,"Canada, India, New_zealand, Sri_lanka, United_states",Plantae,Magnoliophyta,Terrestrial,"Australia, Canada, France, Italy, Netherlands, Portugal, Russian Federation, Spain, United Kingdom of Great Britain and Northern Ireland, United States of America"
Alnus glutinosa,"Albania, Algeria, Australia, Austria, Belarus, Belgium, Bulgaria, Canada, Chile, Czech_republic, Denmark, Finland, France, Germany, Greece, Hungary, Iran, Ireland, Italy, Kazakhstan, Kuwait, Morocco, Netherlands, New_zealand, Norfolk_island, Norway, Poland, Portugal, Romania, Russia, South_africa, Spain, Sweden, Switzerland, Tunisia, Turkey, Ukraine, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,"Argentina, Canada, Estonia, France, Ireland, Kazakhstan, Netherlands, Russian Federation, United Kingdom of Great Britain and Northern Ireland, United States of America"
Alopochen aegyptiaca,"Belgium, Netherlands, United_kingdom",Animalia,Chordata,Freshwater_terrestrial,"Cameroon, Congo, Democratic Republic of the, Egypt, Ethiopia, Israel, Kenya, Malawi, Mozambique, Somalia, South Africa, Spain, Sudan, Tanzania, United Republic of, Türkiye, Uganda, United Kingdom of Great Britain and Northern Ireland, United States of America, Zambia, Zimbabwe"
Alosa pseudoharengus,United_states,Animalia,Chordata,Freshwater,"Canada, United States of America"
Alpinia zerumbet,"Anguilla, Cambodia, China, Cook_islands, Ecuador, Fiji, Guam, India, Japan, Malaysia, Marshall_islands, Micronesia, Myanmar, New_calcedonia, Northern_mariana_islands, Palau, Puerto_rico, Saint_helena, South_africa, Thailand, United_states, Vietnam, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,Chinese Taipei
Alternanthera philoxeroides,"Argentina, Australia, Bolivia, Brazil, China, France, India, Indonesia, Italy, Myanmar, New_zealand, Papua_new_guinea, Paraguay, Peru, Puerto_rico, Singapore, Sri_lanka, Thailand, United_states, Uruguay, Venezuela",Plantae,Magnoliophyta,Terrestrial,"Australia, Brazil, Chinese Taipei, Indonesia, Timor-Leste, United States of America, Uruguay"
Alternanthera sessilis,"American_samoa, Australia, Bhutan, Cambodia, China, Christmas_island, Cook_islands, Ecuador, Fiji, French_polynesia, Ghana, Guam, India, Indonesia, Laos, Malaysia, Marshall_islands, Micronesia, Myanmar, Nauru, Nepal, New_calcedonia, New_zealand, Nigeria, Norfolk_island, Northern_mariana_islands, Palau, Papua_new_guinea, Philippines, Puerto_rico, Singapore, Solomon_islands, Taiwan, Thailand, Tonga, Tuvalu, United_states, Vanauatu, Vietnam, Wallis_and_futuna",Plantae,Magnoliophyta,Terrestrial,"Australia, Bhutan, Brazil, Chinese Taipei"
Alytes obstetricans,"France, United_kingdom",Animalia,Chordata,Freshwater_terrestrial,Spain
Amazona amazonica,United_states,Animalia,Chordata,Terrestrial,"Bolivia (Plurinational State of), Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, Trinidad and Tobago, United States of America, Venezuela (Bolivarian Republic of)"
Amazona autumnalis,United_states,Animalia,Chordata,Terrestrial,"Belize, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States of America, Venezuela (Bolivarian Republic of)"
Amazona finschi,United_states,Animalia,Chordata,Terrestrial,"Mexico, United States of America"
Amazona oratrix,United_states,Animalia,Chordata,Terrestrial,"Belize, Mexico, United States of America"
Amazona viridigenalis,United_states,Animalia,Chordata,Terrestrial,"Mexico, United States of America"
Ambigolimax nyctelius,Japan,Animalia,Mollusca,Terrestrial,United States of America
Ambigolimax valentianus,Japan,Animalia,Mollusca,Terrestrial,Spain
Ambrosia artemisiifolia,"Argentina, Australia, Austria, Azerbaijan, Belgium, Bolivia, Brazil, Canada, Chile, China, Colombia, Croatia, Cuba, Czech_republic, Denmark, Finland, France, Germany, Guadeloupe, Guatemala, Hungary, India, Italy, Jamaica, Japan, Kazakhstan, Kuwait, Latvia, Lithuania, Martinique, Mauritius, Mexico, Moldova, Netherlands, New_zealand, Norway, Paraguay, Peru, Poland, Portugal, Romania, Russia, Slovakia, Slovenia, South_korea, Spain, Sweden, Switzerland, Taiwan, Turkey, Ukraine, United_kingdom, United_states, Uruguay",Plantae,Magnoliophyta,Terrestrial,"Argentina, Austria, Belgium, Brazil, Canada, Chinese Taipei, Ecuador, Germany, Jamaica, Slovenia, United Kingdom of Great Britain and Northern Ireland, United States of America"
Ambystoma laterale,United_states,Animalia,Chordata,Freshwater_terrestrial,"Canada, United States of America"
Ambystoma tigrinum,"Canada, United_states",Animalia,Chordata,Freshwater_terrestrial,United States of America
Ameiurus nebulosus,"Austria, Belarus, Bulgaria, Canada, Chile, China, Czech_republic, Denmark, Finland, France, Germany, Hungary, Iran, Ireland, Italy, Netherlands, New_zealand, Norway, Poland, Puerto_rico, Romania, Russia, Slovakia, Spain, Turkey, Ukraine, United_states",Animalia,Chordata,Terrestrial,United States of America
Ammophila arenaria,"Albania, Algeria, Australia, Belgium, Bulgaria, Canada, Chile, Cyprus, Denmark, Egypt, Falkland_islands, Finland, Germany, Greece, Ireland, Israel, Italy, Latvia, Lebanon, Libya, Lithuania, Morocco, Netherlands, New_zealand, Poland, Portugal, Romania, Saudi_arabia, South_africa, Spain, Sweden, Tunisia, Turkey, United_kingdom, United_states",Plantae,Magnoliophyta,Terrestrial,
Ammothea hilgendorfi,"Belgium, Italy, Netherlands, United_kingdom",Animalia,Arthropoda,Marine,
Ammotragus lervia,"Algeria, Chad, Egypt, Libya, Mali, Mauritania, Mexico, Morocco, Niger, Spain, Sudan, Tunisia, United_states",Animalia,Chordata,Terrestrial,"Algeria, Brazil, Chad, United States of America"
Ampelopsis brevipedunculata,"Canada, China, Japan, North_korea, Russia, South_korea, United_states",Plantae,Magnoliophyta,Terrestrial,"Korea, Republic of"
